               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11176,            0.038116,              0.0634,             0.38818,           0.0061728,           0.0091583,            0.001292,             0.10871,            0.021545,             0.06567,              0.0001,              0.0001,              0.0991
                   1,             0.10514,            0.046551,            0.063195,             0.12908,            0.018519,           0.0058587,           0.0010898,            0.099541,            0.023683,            0.065308,          0.00020999,          0.00020999,             0.09811
                   2,            0.096349,            0.045534,            0.062979,             0.01907,            0.018519,           0.0064492,           0.0014293,            0.089296,            0.025929,            0.064637,          0.00031997,          0.00031997,             0.09712
                   3,            0.091261,            0.049821,            0.062371,           0.0072532,             0.14093,           0.0072398,            0.001918,            0.082087,            0.027593,            0.063821,           0.0004299,           0.0004299,             0.09613
                   4,            0.084925,            0.053111,            0.062306,            0.016629,             0.11837,            0.013741,           0.0036898,            0.077782,            0.027967,            0.063104,          0.00053979,          0.00053979,             0.09514
                   5,            0.081774,            0.052138,            0.062063,            0.039402,             0.17393,            0.034923,            0.010118,             0.07365,            0.027992,            0.062489,           0.0006496,           0.0006496,             0.09415
                   6,            0.077704,            0.053033,             0.06099,            0.061417,             0.33419,            0.060006,            0.018502,            0.068733,             0.02752,            0.061818,          0.00075933,          0.00075933,            0.093159
                   7,            0.072836,            0.052501,            0.060349,            0.095929,             0.26974,            0.079834,            0.027237,            0.064847,            0.026128,            0.061463,          0.00086895,          0.00086895,            0.092169
                   8,            0.066675,             0.04968,            0.060261,             0.13257,             0.31903,             0.12656,            0.052535,            0.060169,            0.024733,            0.061304,          0.00097845,          0.00097845,            0.091178
                   9,             0.06251,            0.044748,            0.059839,             0.10448,             0.47443,             0.14128,            0.065823,            0.056159,            0.023957,             0.06097,           0.0010878,           0.0010878,            0.090188
                  10,             0.05857,            0.042907,            0.059677,             0.12415,             0.44784,             0.13787,            0.061637,            0.054516,            0.024001,            0.060441,            0.001197,            0.001197,            0.089197
                  11,            0.055263,            0.043524,            0.058278,             0.17901,             0.36943,             0.14457,             0.06803,             0.05376,            0.022727,            0.059791,           0.0013061,           0.0013061,            0.088206
                  12,            0.052567,            0.040447,            0.058464,             0.12087,             0.53431,             0.15717,             0.08359,            0.052114,            0.020757,            0.059782,            0.001415,            0.001415,            0.087215
                  13,             0.05005,            0.037806,              0.0577,             0.13707,             0.48045,             0.18117,            0.093122,            0.046746,            0.019571,            0.059385,           0.0015236,           0.0015236,            0.086224
                  14,            0.047186,             0.03778,            0.057726,             0.16168,              0.3835,             0.18373,            0.086357,            0.050368,            0.019243,            0.058841,           0.0016321,           0.0016321,            0.085232
                  15,            0.056525,            0.041892,            0.056278,             0.13433,             0.33509,             0.16433,            0.071459,             0.05397,            0.018486,            0.058978,           0.0017403,           0.0017403,             0.08424
                  16,            0.053711,            0.038054,            0.056738,             0.13837,             0.37785,             0.21368,             0.11857,            0.046641,            0.017832,            0.058691,           0.0018483,           0.0018483,            0.083248
                  17,            0.055925,            0.040769,            0.056938,             0.16817,             0.27508,             0.22605,             0.11402,            0.052654,             0.01756,            0.057886,            0.001956,            0.001956,            0.082256
                  18,            0.051208,            0.043376,            0.055471,             0.14627,             0.52407,             0.24214,             0.12658,            0.040905,            0.017212,            0.056953,           0.0020634,           0.0020634,            0.081263
                  19,             0.05226,            0.035227,            0.056313,             0.14871,             0.41185,             0.25188,             0.12166,            0.049746,            0.017045,            0.055898,           0.0021706,           0.0021706,            0.080271
                  20,            0.049148,            0.033067,            0.054649,             0.16666,             0.51003,             0.27127,             0.15285,            0.044908,            0.017113,            0.055874,           0.0022774,           0.0022774,            0.079277
                  21,             0.05001,            0.034725,             0.05468,             0.18233,             0.44201,             0.26441,             0.12229,            0.048759,            0.016809,            0.056166,           0.0023839,           0.0023839,            0.078284
